Id,Artist,Title,Description,Tags,publishedAt,View,Like,CommentCount,pushblishDayName,Duration,SheetName
i8PAEMqyhp0,BURNOUT SYNDROMES,Dream on!!,"Provided to YouTube by Sony Music Labels Inc.

Dream on!! · BURNOUT SYNDROMES

Burnout Syndromez

℗ 2020 Sony Music Labels Inc.

Released on: 2020-03-24

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Kazuma Sotozono

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Burnout Syndromez', 'Dream on!!']",2021-08-04 16:55:56,63063,857,4,Wednesday,00:03:46,Song
onjNbsAGN5g,BURNOUT SYNDROMES,Phoenix,"Provided to YouTube by Sony Music Labels Inc.

Phoenix · BURNOUT SYNDROMES

Burnout Syndromez

℗ 2020 Sony Music Labels Inc.

Released on: 2020-03-24

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Burnout Syndromez', 'Phoenix']",2021-08-04 16:55:56,8828,123,0,Wednesday,00:04:07,Song
tFRJlnaYsrE,BURNOUT SYNDROMES,Hakusenwatari,"Provided to YouTube by Sony Music Labels Inc.

Hakusenwatari · BURNOUT SYNDROMES

Burnout Syndromez

℗ 2020 Sony Music Labels Inc.

Released on: 2020-03-24

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Jun Murayama

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Burnout Syndromez', 'Hakusenwatari']",2021-08-04 16:55:56,30459,485,6,Wednesday,00:04:26,Song
dqWB8t61H8w,BURNOUT SYNDROMES,Break dancer,"Provided to YouTube by Sony Music Labels Inc.

Break dancer · BURNOUT SYNDROMES

PHOENIX

℗ 2020 Sony Music Labels Inc.

Released on: 2020-02-12

Arranger, Composer, Lyricist: Kazuumi Kumagai

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'PHOENIX', 'Break dancer']",2021-08-04 16:49:43,14769,123,0,Wednesday,00:05:07,Song
e113E1fKksQ,BURNOUT SYNDROMES,Phoenix,"Provided to YouTube by Sony Music Labels Inc.

Phoenix · BURNOUT SYNDROMES

PHOENIX

℗ 2020 Sony Music Labels Inc.

Released on: 2020-02-12

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'PHOENIX', 'Phoenix']",2021-08-04 16:49:43,4598,63,0,Wednesday,00:04:07,Song
rK0FPMFmhjE,BURNOUT SYNDROMES,Phoenix (instrumental),"Provided to YouTube by Sony Music Labels Inc.

Phoenix (instrumental) · BURNOUT SYNDROMES

PHOENIX

℗ 2020 Sony Music Labels Inc.

Released on: 2020-02-12

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'PHOENIX', 'Phoenix']",2021-08-04 16:49:43,11816,301,2,Wednesday,00:04:06,Song
rm1e8YBvyQw,BURNOUT SYNDROMES,Hikariare (moonlight Version),"Provided to YouTube by Sony Music Labels Inc.

Hikariare (moonlight Version) · BURNOUT SYNDROMES

PHOENIX

℗ 2020 Sony Music Labels Inc.

Released on: 2020-02-12

Composer, Lyricist: Kazuumi Kumagai
Arranger: Kazuma Sotozono

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'PHOENIX', 'Hikariare']",2021-08-04 16:49:43,394462,8279,38,Wednesday,00:05:11,Song
QiRl4st9BbY,BURNOUT SYNDROMES,Phoenix,"Provided to YouTube by Sony Music Labels Inc.

Phoenix · BURNOUT SYNDROMES

PHOENIX

℗ 2020 Sony Music Labels Inc.

Released on: 2020-01-24

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'PHOENIX', 'Phoenix']",2021-08-04 15:54:20,2055475,19906,16,Wednesday,00:04:07,Song
koQ71-MtuKc,BURNOUT SYNDROMES,Elevatorgirl,"Provided to YouTube by Sony Music Labels Inc.

Elevatorgirl · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Elevatorgirl']",2021-08-04 11:39:50,23112,284,1,Wednesday,00:04:13,Song
2rqEuaqDi5k,BURNOUT SYNDROMES,Air Guitar Girl,"Provided to YouTube by Sony Music Labels Inc.

Air Guitar Girl · BURNOUT SYNDROMES

Lemon

℗ 2016 Sony Music Labels Inc.

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Air Guitar Girl']",2021-08-04 11:39:40,21142,196,1,Wednesday,00:04:03,Song
3gSQvHxP5SY,BURNOUT SYNDROMES,Bottle Ship Boys,"Provided to YouTube by Sony Music Labels Inc.

Bottle Ship Boys · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Bottle Ship Boys']",2021-08-04 11:39:40,12505,166,1,Wednesday,00:04:09,Song
7kswqhf385o,BURNOUT SYNDROMES,hikariare,"Provided to YouTube by Sony Music Labels Inc.

hikariare · BURNOUT SYNDROMES

Lemon

℗ 2016 Sony Music Labels Inc.

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'hikariare']",2021-08-04 11:39:40,2347169,23251,32,Wednesday,00:04:05,Song
HCFjbGNGXjM,BURNOUT SYNDROMES,Kiminotamenomusic,"Provided to YouTube by Sony Music Labels Inc.

Kiminotamenomusic · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Kiminotamenomusic']",2021-08-04 11:39:40,13608,180,1,Wednesday,00:04:03,Song
IC_Hod__HDc,BURNOUT SYNDROMES,Timecapsuleniaozorawo,"Provided to YouTube by Sony Music Labels Inc.

Timecapsuleniaozorawo · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Timecapsuleniaozorawo']",2021-08-04 11:39:40,9710,103,0,Wednesday,00:03:46,Song
RH1tj9_GnZQ,BURNOUT SYNDROMES,Jinkoueisei,"Provided to YouTube by Sony Music Labels Inc.

Jinkoueisei · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Jinkoueisei']",2021-08-04 11:39:40,24578,367,2,Wednesday,00:04:34,Song
UHzB00jzKUA,BURNOUT SYNDROMES,Nightcycling,"Provided to YouTube by Sony Music Labels Inc.

Nightcycling · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Nightcycling']",2021-08-04 11:39:40,60616,547,1,Wednesday,00:05:15,Song
Y2pQ9Ci8OwY,BURNOUT SYNDROMES,Lemon,"Provided to YouTube by Sony Music Labels Inc.

Lemon · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon']",2021-08-04 11:39:40,31378,384,4,Wednesday,00:04:12,Song
fksnXBbKNA4,BURNOUT SYNDROMES,Sign,"Provided to YouTube by Sony Music Labels Inc.

Sign · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Sign']",2021-08-04 11:39:40,20511,312,0,Wednesday,00:05:43,Song
ljRky5jyOuk,BURNOUT SYNDROMES,FLY HIGH!!,"Provided to YouTube by Sony Music Labels Inc.

FLY HIGH!! · BURNOUT SYNDROMES

Lemon

℗ 2016 Sony Music Labels Inc.

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'FLY HIGH!!']",2021-08-04 11:39:40,4762672,45336,78,Wednesday,00:04:05,Song
uB6pMBgf7ro,BURNOUT SYNDROMES,Kimiwabokunorainbow,"Provided to YouTube by Sony Music Labels Inc.

Kimiwabokunorainbow · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Kimiwabokunorainbow']",2021-08-04 11:39:40,19377,277,2,Wednesday,00:05:05,Song
uJPm_ip74nI,BURNOUT SYNDROMES,Atashiinsomnia,"Provided to YouTube by Sony Music Labels Inc.

Atashiinsomnia · BURNOUT SYNDROMES

Lemon

℗ 2016 Epic Records Japan

Released on: 2016-11-09

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Lemon', 'Atashiinsomnia']",2021-08-04 11:39:40,20234,231,2,Wednesday,00:05:11,Song
0GuL6k1oJYE,BURNOUT SYNDROMES,Dragonfly,"Provided to YouTube by Sony Music Labels Inc.

Dragonfly · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Dragonfly']",2021-08-04 09:06:03,17957,250,7,Wednesday,00:04:16,Song
9z00wYQKDrc,BURNOUT SYNDROMES,POKER-FACE,"Provided to YouTube by Sony Music Labels Inc.

POKER-FACE · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'POKER-FACE']",2021-08-04 09:06:03,5601,90,2,Wednesday,00:04:44,Song
CLxm7kkq4ek,BURNOUT SYNDROMES,Melodic Surfers,"Provided to YouTube by Sony Music Labels Inc.

Melodic Surfers · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Lyricist: Taiyu Ishikawa
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Melodic Surfers']",2021-08-04 09:06:03,18923,272,2,Wednesday,00:04:25,Song
FFU5i9UQo1E,BURNOUT SYNDROMES,Kimi o uninstall dekitanara,"Provided to YouTube by Sony Music Labels Inc.

Kimi o uninstall dekitanara · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Kimi o uninstall dekitanara']",2021-08-04 09:06:03,35237,379,2,Wednesday,00:04:46,Song
P6Ck2bY64zg,BURNOUT SYNDROMES,wagahaiwanekodearu,"Provided to YouTube by Sony Music Labels Inc.

wagahaiwanekodearu · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Labels Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'wagahaiwanekodearu']",2021-08-04 09:06:03,23381,311,1,Wednesday,00:04:44,Song
gp7_fpwxcxo,BURNOUT SYNDROMES,Wakakusayamastarmine,"Provided to YouTube by Sony Music Labels Inc.

Wakakusayamastarmine · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Wakakusayamastarmine']",2021-08-04 09:06:03,14627,238,2,Wednesday,00:04:35,Song
m_LrvKEXaJ4,BURNOUT SYNDROMES,Hanaichimonme,"Provided to YouTube by Sony Music Labels Inc.

Hanaichimonme · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Labels Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Hanaichimonme']",2021-08-04 09:06:03,472302,4690,28,Wednesday,00:04:36,Song
oHGyrLBcnZs,BURNOUT SYNDROMES,Shayou,"Provided to YouTube by Sony Music Labels Inc.

Shayou · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Shayou']",2021-08-04 09:06:03,8533,119,1,Wednesday,00:05:46,Song
psjoF8wBYQc,BURNOUT SYNDROMES,Highscoregirl,"Provided to YouTube by Sony Music Labels Inc.

Highscoregirl · BURNOUT SYNDROMES

Kujyaku

℗ 2017 Sony Music Labels Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Highscoregirl']",2021-08-04 09:06:03,50327,566,1,Wednesday,00:04:30,Song
VngYb4UE2rA,BURNOUT SYNDROMES,Yorokobi no uta,"Provided to YouTube by Sony Music Labels Inc.

Yorokobi no uta · BURNOUT SYNDROMES

Kujyaku

℗ 2018 Sony Music Entertainment (Japan) Inc.

Released on: 2018-02-21

Composer, Lyricist: Kazuumi Kumagai
Arranger: Junji Ishiwatari

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Kujyaku', 'Yorokobi no uta']",2021-08-04 09:06:02,13774,212,3,Wednesday,00:04:32,Song
FZ7uivPWDR0,BURNOUT SYNDROMES,Hoshinooujisama - Fin,"Provided to YouTube by Sony Music Labels Inc.

Hoshinooujisama - Fin · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Keiko Ohsaki

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Hoshinooujisama - Fin']",2021-08-04 09:05:41,3425,56,0,Wednesday,00:04:48,Song
MTOoDYOY644,BURNOUT SYNDROMES,Kokushimusouyakumanshoujo,"Provided to YouTube by Sony Music Labels Inc.

Kokushimusouyakumanshoujo · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Kokushimusouyakumanshoujo']",2021-08-04 09:05:41,5240,67,2,Wednesday,00:04:39,Song
XtMewGQQzfY,BURNOUT SYNDROMES,Wagayawa Louvre,"Provided to YouTube by Sony Music Labels Inc.

Wagayawa Louvre · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Wagayawa Louvre']",2021-08-04 09:05:41,2709,50,0,Wednesday,00:04:38,Song
NS41utBUTZU,BURNOUT SYNDROMES,Speech,"Provided to YouTube by Sony Music Labels Inc.

Speech · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Speech']",2021-08-04 09:05:40,3281,72,0,Wednesday,00:04:55,Song
VFwK0mI3kCk,BURNOUT SYNDROMES,Namitachinu,"Provided to YouTube by Sony Music Labels Inc.

Namitachinu · BURNOUT SYNDROMES

Myojo

℗ 2018 Sony Music Labels Inc.

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Namitachinu']",2021-08-04 09:05:40,1515,18,0,Wednesday,00:05:14,Song
XCmLaDLf_nc,BURNOUT SYNDROMES,Masamune,"Provided to YouTube by Sony Music Labels Inc.

Masamune · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Masamune']",2021-08-04 09:05:40,8119,134,1,Wednesday,00:04:47,Song
Z3trTkytQdg,BURNOUT SYNDROMES,Aa,"Provided to YouTube by Sony Music Labels Inc.

Aa · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Aa']",2021-08-04 09:05:40,5565,70,3,Wednesday,00:04:33,Song
-eFR43iZd5s,BURNOUT SYNDROMES,Hoshinooujisama - Ouverture,"Provided to YouTube by Sony Music Labels Inc.

Hoshinooujisama - Ouverture · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Keiko Ohsaki

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Hoshinooujisama - Ouverture']",2021-08-04 09:05:39,3875,41,0,Wednesday,00:03:00,Song
Yl25v6b7zcE,BURNOUT SYNDROMES,Sekaiomawase,"Provided to YouTube by Sony Music Labels Inc.

Sekaiomawase · BURNOUT SYNDROMES

Myojo

℗ 2018 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Sekaiomawase']",2021-08-04 09:05:39,3869,86,0,Wednesday,00:04:25,Song
sUtNH44Qh50,BURNOUT SYNDROMES,Darwinni Sasagu,"Provided to YouTube by Sony Music Labels Inc.

Darwinni Sasagu · BURNOUT SYNDROMES

Myojo

℗ 2019 Epic Records Japan

Released on: 2019-02-20

Arranger, Composer, Lyricist: Kazuumi Kumagai
Arranger: Eji

Auto-generated by YouTube.","['BURNOUT SYNDROMES', 'バーンアウトシンドロームズ', 'Myojo', 'Darwinni Sasagu']",2021-08-04 09:05:39,7843,132,1,Wednesday,00:04:56,Song
